Feature,Mean_Healthy,SD_Healthy,N_Healthy,Mean_Sick,SD_Sick,N_Sick,Mean_Treated,SD_Treated,N_Treated,p_ANOVA,p_Healthy_vs_Sick,p_Sick_vs_Treated,InjuryChange,TreatmentEffect,FinalEffect,EffectSize_Benefit,EffectSize_Harm
Mean step jerk Y during swing - spine 1 (m/s^3),-6.66131441720791,14.6306228588029,20,-8.43828654753612,14.4240845479017,20,-15.2337852586095,27.1417407687601,20,0.353206623778647,1,0.519550813770771,0,0,No effect,NaN,NaN
Mean step jerk Y during swing - spine 1 std,20.4215704268933,14.9965202621901,20,11.4929874184241,6.05993763365115,20,16.4511860597075,24.8792706754736,20,0.263984304654112,0.314570229553766,1,0,0,No effect,NaN,NaN
Mean step jerk Y during swing - spine 2 (m/s^3),-10.7561847943582,15.6043042480826,20,-18.6389721516908,20.5768623796991,20,-20.933532054145,31.2537172931713,20,0.359985000829926,0.874165814616594,0.523590493841508,0,0,No effect,NaN,NaN
Mean step jerk Y during swing - spine 2 std,30.176566338535,24.7790722398972,20,19.4963606598231,13.6818823486674,20,32.2676173354305,29.0314395487334,20,0.189558972426783,0.463704335730253,1,0,0,No effect,NaN,NaN
Mean step jerk Y during swing - spine 3 (m/s^3),-17.9846707803627,18.5873195114349,20,-18.1926976190825,16.5512569879388,20,-23.0298090278837,33.6340471062926,20,0.75735144265242,1,1,0,0,No effect,NaN,NaN
Mean step jerk Y during swing - spine 3 std,22.678235985853,25.5242787463379,20,19.1602170962135,9.4608362849656,20,27.0480414442384,35.4993208709477,20,0.628535324820443,1,1,0,0,No effect,NaN,NaN
Mean step jerk Y during swing - spine 4 (m/s^3),-9.32804721184546,23.3574227930696,20,-3.54452677836609,17.5707900037998,20,-9.69348099404255,27.8950940755791,20,0.647903315801055,1,1,0,0,No effect,NaN,NaN
Mean step jerk Y during swing - spine 4 std,24.6060308904398,20.3498794830722,20,14.6521157387715,8.76812333312882,20,21.9384217938886,33.7217641118206,20,0.38216220004047,0.545949477747155,1,0,0,No effect,NaN,NaN
Mean step jerk Y during swing - base (m/s^3),-4.52566539978279,24.9898139694484,20,5.43881667560334,23.219089081447,20,5.08445432973769,19.3103479251198,20,0.294775719774075,0.507675012051856,0.553946711664636,0,0,No effect,NaN,NaN
Mean step jerk Y during swing - base std,27.6206423399986,23.4946623567258,20,21.3107523730141,12.051260785015,20,27.6470418457371,32.6374991748,20,0.637539816015012,1,1,0,0,No effect,NaN,NaN
Mean angle at stance - rforelimb - shoulder (°),37.5240172758339,6.26449629841625,20,37.6759738391687,3.06057002578547,20,36.8368983093312,3.48505892195386,20,0.821429730025495,1,1,0,0,No effect,NaN,NaN
Mean angle at stance - rforelimb - shoulder std,3.63610779029681,3.49218992818977,20,3.8947241405898,1.47602179112474,20,3.08204504622844,1.66389280147741,20,0.550426051530158,1,1,0,0,No effect,NaN,NaN
Mean angle at stance - rforelimb - elbow (°),129.17713868694,6.70525559128524,20,126.4352028414,5.44687287488448,20,128.762870109907,6.48066933054583,20,0.332103211813916,0.509215622329697,1,0,0,No effect,NaN,NaN
Mean angle at stance - rforelimb - elbow std,4.94194440506008,4.1127786608215,20,4.12544357197869,2.85777111633181,20,5.43101993102515,2.63354166928066,20,0.447596399318133,1,1,0,0,No effect,NaN,NaN
Mean angle at stance - rforelimb - wrist (°),146.505125576553,8.36480018893416,20,147.016435858704,8.13502355376115,20,150.185985903432,8.76464618617625,20,0.333294991233043,1,0.5175432315499,0,0,No effect,NaN,NaN
Mean angle at stance - rforelimb - wrist std,9.32728523208918,5.82983156436874,20,7.73444055290347,4.51847936967317,20,7.17560929428815,4.41339009890626,20,0.369814991059864,0.943185431033175,0.527153778861078,0,0,No effect,NaN,NaN
Mean angle at stance - rforelimb - lForepaw (°),92.0499411069563,21.159694705005,20,68.1380450973887,10.5732927690727,20,75.1391230647608,13.7381549587129,20,4.11628851860531e-05,3.71344305898303e-05,0.00386931509605786,1,1,Restoration,7.00107796737207,NaN
Mean angle at stance - rforelimb - lForepaw std,21.0851678875612,11.0886156513203,20,13.2152246648106,8.53400376329592,20,9.8058394196933,6.41326402481564,20,0.000599441219660678,0.0208642395200154,0.000529328301458023,1,1,Worsening,NaN,3.40938524511726
Mean angle at stance - rhindlimb - hip (°),124.664338032745,5.33560436362271,20,125.058446246982,3.12720337618472,20,125.396472212284,2.78276927178341,20,0.83977104388346,1,1,0,0,No effect,NaN,NaN
Mean angle at stance - rhindlimb - hip std,4.10866891330019,3.78321313253184,20,2.24357082851049,1.22717805058148,20,3.1312500187899,1.55792577006825,20,0.0654002217789974,0.060298575640005,0.645624519704194,0,0,No effect,NaN,NaN
Mean angle at stance - rhindlimb - knee (°),92.3951375237721,2.03752846667698,20,92.2903444792395,2.36675927864722,20,91.9463911073051,1.94283967696701,20,0.783966681922647,1,1,0,0,No effect,NaN,NaN
Mean angle at stance - rhindlimb - knee std,1.75693970775215,1.08149928101981,20,1.42370055026095,0.74140608967327,20,1.52141170483971,0.65715997814185,20,0.446219639469531,0.655278717774746,1,0,0,No effect,NaN,NaN
Mean angle at stance - rhindlimb - ankle (°),66.2305240697205,4.00509962671844,20,68.2842248307705,2.60041208937244,20,65.8978735475399,3.61363831822234,20,0.0695132761208268,0.196339508553489,1,0,0,No effect,NaN,NaN
Mean angle at stance - rhindlimb - ankle std,4.78549727157594,2.73431273360781,20,2.63321537107037,2.2381593599496,20,2.91748159362621,1.3744707335841,20,0.0055093932968725,0.0087783594287385,0.0274374997747033,1,1,Restoration,0.284266222555842,NaN
Mean angle at stance - rhindlimb - lHindpaw (°),151.153944265961,4.24272682758964,20,145.618386378264,2.82978073130339,20,150.116959928351,3.82775831407645,20,2.60100775809002e-05,4.17515347334053e-05,1,1,0,No effect,NaN,NaN
Mean angle at stance - rhindlimb - lHindpaw std,5.16851453011066,1.94032585059161,20,4.00990716212235,2.1476608755519,20,3.34877035494155,1.71816302121991,20,0.0154114564922487,0.193446328074788,0.0133832142631255,0,1,No effect,NaN,NaN
Mean angle at stance - rhindlimb - lHindfingers (°),175.323419364775,2.32940745470293,20,174.405911843173,1.11807361008912,20,174.504505013104,1.19485127752487,20,0.162187176793847,0.248599246406415,0.361942135854233,0,0,No effect,NaN,NaN
Mean angle at stance - rhindlimb - lHindfingers std,1.81633366868905,1.69765565035004,20,1.39560926260228,1.01421932447723,20,1.28878135699718,0.731099310798923,20,0.356616092765904,0.836996897397377,0.527705670755029,0,0,No effect,NaN,NaN
Mean angle at stance - spine - head (°),42.6256483848885,3.75118633764366,20,39.2331996622257,4.06591650414116,20,40.9253149066414,2.68055095961989,20,0.0144483959864371,0.0112489449463505,0.405888478598356,1,0,No effect,NaN,NaN
Mean angle at stance - spine - head std,3.20009120614045,2.17809712431007,20,3.47868637394316,2.05607114487967,20,3.1354826308097,2.10089178932032,20,0.861815422549759,1,1,0,0,No effect,NaN,NaN
Mean angle at stance - spine - spine 1 (°),153.413177914332,3.5460938762589,20,156.228335898073,4.19192164359633,20,156.272378776441,3.85047674856134,20,0.0342968361632961,0.0755270885537211,0.0692267608461296,0,0,No effect,NaN,NaN
Mean angle at stance - spine - spine 1 std,3.78915547247545,2.02367436364464,20,4.44710788299626,1.86222141165931,20,3.4879007441061,1.77491184518061,20,0.26801776828911,0.826562330115734,1,0,0,No effect,NaN,NaN
Mean angle at stance - spine - spine 2 (°),173.487899329661,2.32436876594667,20,173.463818186056,3.65489034244117,20,173.336822797796,3.70482308230292,20,0.987907651729193,1,1,0,0,No effect,NaN,NaN
Mean angle at stance - spine - spine 2 std,3.10889162765946,1.75735597067653,20,3.009609456963,1.94934738854458,20,2.81333101375621,1.66888351352392,20,0.869378720850505,1,1,0,0,No effect,NaN,NaN
Mean angle at stance - spine - spine 3 (°),150.047574734905,3.43948821894458,20,150.134978573948,2.66677729716218,20,148.949910681113,3.56182494649662,20,0.442371707044648,1,0.868681974265059,0,0,No effect,NaN,NaN
Mean angle at stance - spine - spine 3 std,3.29846025904102,1.68141122007138,20,2.9829689587778,1.59690675718715,20,3.16846816978802,1.32420600371977,20,0.809971426704932,1,1,0,0,No effect,NaN,NaN
Mean angle at stance - spine - spine 4 (°),166.932642331728,1.91466305079872,20,165.687405913696,1.71272572586351,20,164.499180240755,2.57678880491543,20,0.00241492788595859,0.197974378448421,0.00164223105575075,0,1,No effect,NaN,NaN
Mean angle at stance - spine - spine 4 std,1.52332182530008,0.801725722388577,20,1.92196087125029,1.01665532764164,20,1.59866343190286,1.07943097974271,20,0.393895635320347,0.601332135246611,1,0,0,No effect,NaN,NaN
Mean angle at stance - spine - base (°),31.9703375194264,3.39155614143642,20,32.9314122070482,3.72447077508634,20,35.3129939634476,4.38031356872608,20,0.0239419372445342,1,0.0243908509494454,0,1,No effect,NaN,NaN
Mean angle at stance - spine - base std,4.37959748837668,1.89671860839727,20,3.4321687785048,1.57160268141602,20,3.22869179709384,1.44785834371199,20,0.0709326407984457,0.223802824722798,0.0942349587487908,0,0,No effect,NaN,NaN
Mean angle at stance - tail - base (°),8.29677134839472,4.63158480173069,20,8.30913390166929,2.89563607178022,20,6.4463696188837,2.85327595480912,20,0.172074828448391,1,0.316662972837206,0,0,No effect,NaN,NaN
Mean angle at stance - tail - base std,3.39705547247192,2.27132370151938,20,2.43747743305655,1.85596309654272,20,2.84395389127688,2.26660876817637,20,0.369579097829226,0.485032261603556,1,0,0,No effect,NaN,NaN
Mean angle at stance - tail - tail 1 (°),174.373677614681,2.11195658373729,20,175.577742710751,1.18664497007411,20,174.91810291123,2.43400923213607,20,0.166605695677252,0.179431245604648,1,0,0,No effect,NaN,NaN
Mean angle at stance - tail - tail 1 std,2.1819003265741,1.35632557712196,20,1.38314692591804,0.788495122194715,20,2.32627858227101,2.41708147771524,20,0.164276645549118,0.403446521916916,1,0,0,No effect,NaN,NaN
Mean angle at stance - tail - tail 2 (°),165.609939290516,4.81908927528939,20,165.051012481847,2.83659851727389,20,163.806536873727,5.06030922455661,20,0.412655939039994,1,0.58661106914884,0,0,No effect,NaN,NaN
Mean angle at stance - tail - tail 2 std,5.5006731954581,4.19920204878665,20,3.82182364895671,2.68350637268258,20,4.70376475630181,2.92794836970631,20,0.289594626651152,0.351470219880903,1,0,0,No effect,NaN,NaN
Mean angle at stance - tail - tail 3 (°),165.926719308233,4.98863292452915,20,164.761319376103,5.82310062624834,20,162.878670516308,5.06594529452277,20,0.195381517916297,1,0.223610990412175,0,0,No effect,NaN,NaN
Mean angle at stance - tail - tail 3 std,5.46886003768967,3.89138044167285,20,5.9750706419179,2.84137695507586,20,6.89826143841637,3.10254149520146,20,0.389124083399364,1,0.531768945295845,0,0,No effect,NaN,NaN
Mean angle at stance - tail - tail 4 (°),22.0403262915182,6.81439194018741,20,25.2903961424949,6.34115910531395,20,29.04764467698,6.43791325962982,20,0.00526762985162293,0.363856732553422,0.00381013318271616,0,1,No effect,NaN,NaN
Mean angle at stance - tail - tail 4 std,6.18033846401616,3.63897855198589,20,8.34303688996167,3.96722285417561,20,9.62598549348824,4.89491587729568,20,0.0389681960917785,0.327109000481997,0.0361317871627255,0,1,No effect,NaN,NaN
Mean angle at swing - rforelimb - shoulder (°),70.6090274620863,5.70738809864345,20,74.0568999241264,6.17904989385936,20,68.6468541893514,5.19510282148957,20,0.0140051065187399,0.183450495928224,0.844759699706132,0,0,No effect,NaN,NaN
Mean angle at swing - rforelimb - shoulder std,7.48408812606007,3.35278443597495,20,5.70748496246933,3.76973256992047,20,5.41126455448763,2.70073254911093,20,0.109211550330679,0.283473072097885,0.156232830336232,0,0,No effect,NaN,NaN
Mean angle at swing - rforelimb - elbow (°),107.630285288375,3.25413429889376,20,111.346921288388,4.29487341044775,20,111.133016272574,2.87463516831295,20,0.00190453296818728,0.00453811409924169,0.00799843850380703,1,1,Restoration,0.213905015813225,NaN
Mean angle at swing - rforelimb - elbow std,3.86345132699467,1.40303710446219,20,3.41118232658959,1.46403049786566,20,3.21831021610994,1.45745214779948,20,0.354864934570979,0.976201950029475,0.487515809258602,0,0,No effect,NaN,NaN
Mean angle at swing - rforelimb - wrist (°),150.946439761652,7.53114967056993,20,150.550391365627,9.07646667407712,20,147.113886112472,7.45306817208513,20,0.262500240037083,1,0.413839407098115,0,0,No effect,NaN,NaN
Mean angle at swing - rforelimb - wrist std,8.60862276546701,3.50326203657105,20,5.42604011251092,2.8888701626898,20,6.71256246780086,3.2069941348374,20,0.0101855413945387,0.00813063978567919,0.200654244578638,1,0,No effect,NaN,NaN
Mean angle at swing - rforelimb - lForepaw (°),168.329197881777,4.19315524146662,20,170.549351241361,3.53920290665781,20,169.042576775842,3.88758285865064,20,0.190989308761626,0.227509698784257,1,0,0,No effect,NaN,NaN
Mean angle at swing - rforelimb - lForepaw std,3.77210987718377,3.53283577577658,20,3.52075081889624,2.04017424270645,20,3.50548137306214,1.83897316047876,20,0.935111551327351,1,1,0,0,No effect,NaN,NaN
Mean angle at swing - rhindlimb - hip (°),75.0871133432174,4.44668541296018,20,74.180054989306,5.19698271855224,20,76.1045793048046,4.46009875585718,20,0.439463845660198,1,1,0,0,No effect,NaN,NaN
Mean angle at swing - rhindlimb - hip std,4.58523403466544,2.06300232463287,20,4.29631561032526,1.61241008908847,20,3.88190804850186,1.57081365901088,20,0.452412023093483,1,0.636660328705667,0,0,No effect,NaN,NaN
Mean angle at swing - rhindlimb - knee (°),98.2681818024564,3.50700820473547,20,100.071023740299,6.39918470933688,20,97.6893067390376,5.28351871136931,20,0.326800658656618,0.832980559484124,1,0,0,No effect,NaN,NaN
Mean angle at swing - rhindlimb - knee std,3.96422308912953,2.15877303174031,20,4.83880199606875,1.85218645213051,20,3.85928406059017,2.06446159856383,20,0.25377907892948,0.534789508929734,1,0,0,No effect,NaN,NaN
Mean angle at swing - rhindlimb - ankle (°),97.495341857833,5.47159841409599,20,95.2131498806982,7.21163123583047,20,94.0293628780233,9.97198026582018,20,0.364718415030626,1,0.492305990563168,0,0,No effect,NaN,NaN
Mean angle at swing - rhindlimb - ankle std,5.78025861355417,2.52254390620675,20,4.38475541061609,2.28310223365694,20,5.5087609283058,2.61037618021748,20,0.176872866107707,0.240035984602891,1,0,0,No effect,NaN,NaN
Mean angle at swing - rhindlimb - lHindpaw (°),136.683446629283,4.97847031981644,20,137.014688438277,3.97789579884326,20,140.462130321404,4.36915323211016,20,0.0166967553301022,1,0.0289256090754539,0,1,No effect,NaN,NaN
Mean angle at swing - rhindlimb - lHindpaw std,5.57609611349071,2.68353374252952,20,2.87713869800331,1.64148090426786,20,3.78139486190836,2.58366941654947,20,0.00218750425161206,0.00181460554183515,0.0569296569489373,1,0,No effect,NaN,NaN
Mean angle at swing - rhindlimb - lHindfingers (°),119.094681161333,7.56134855903776,20,122.021769674752,9.10295199699141,20,119.236543935194,12.0934931506148,20,0.568191768940145,1,1,0,0,No effect,NaN,NaN
Mean angle at swing - rhindlimb - lHindfingers std,5.84483402978643,3.34346124077908,20,4.99769925897903,2.89157198491473,20,6.16663892432615,3.07886863133805,20,0.475185700461912,1,1,0,0,No effect,NaN,NaN
Mean angle at swing - spine - head (°),42.4637618873708,3.38757023324265,20,39.456824082638,3.51706307294253,20,40.8676761086511,2.59999902727859,20,0.0161835862248121,0.012799642760205,0.358769576295462,1,0,No effect,NaN,NaN
Mean angle at swing - spine - head std,3.18927628124006,1.78382067775603,20,3.49719789083341,1.95324330362208,20,2.66176508601264,1.87973392414282,20,0.368121857701144,1,1,0,0,No effect,NaN,NaN
Mean angle at swing - spine - spine 1 (°),153.188499346877,4.21400562627797,20,156.291612903815,4.2005439772082,20,156.582402847536,3.90670179650916,20,0.0200428520533508,0.0608541773262971,0.0344961389311009,0,1,No effect,NaN,NaN
Mean angle at swing - spine - spine 1 std,4.21732150904172,2.41206251117344,20,3.88624293144568,2.18114664935182,20,3.25649284257886,1.53055187624044,20,0.337710076560104,1,0.44587707814216,0,0,No effect,NaN,NaN
Mean angle at swing - spine - spine 2 (°),174.482195966242,2.19084748330532,20,173.767466107529,3.6815876744925,20,173.986365684183,3.61870198671837,20,0.775146575357757,1,1,0,0,No effect,NaN,NaN
Mean angle at swing - spine - spine 2 std,2.63356392939568,2.05632638231939,20,2.85968734859692,1.99295712449943,20,2.38013277102146,1.51495502637418,20,0.720978982377553,1,1,0,0,No effect,NaN,NaN
Mean angle at swing - spine - spine 3 (°),152.345259586239,3.59751728691855,20,153.161683181558,3.92372710130893,20,152.442495769033,4.753383176762,20,0.791900106918885,1,1,0,0,No effect,NaN,NaN
Mean angle at swing - spine - spine 3 std,4.43209183709453,2.64841458847173,20,3.76676927627963,2.00280738257332,20,3.76371489357889,1.55662735171234,20,0.520076999648325,0.973700049543229,0.967108246956562,0,0,No effect,NaN,NaN
Mean angle at swing - spine - spine 4 (°),165.973703553188,2.2363570793505,20,164.080326591645,1.96644087007113,20,162.684222291505,2.66717779841766,20,0.00015948222398381,0.0361052232681456,9.95936070593801e-05,1,1,Worsening,NaN,1.39610430013963
Mean angle at swing - spine - spine 4 std,2.19514937824951,0.860695508802401,20,1.95213153200582,1.0633203002768,20,1.74534225321982,0.981667520288062,20,0.348860620236346,1,0.446722727903237,0,0,No effect,NaN,NaN
Mean angle at swing - spine - base (°),30.705727250743,3.72946852735122,20,31.0073686846712,4.17277186443373,20,32.7464209848886,4.72244338010097,20,0.265471941353742,1,0.39732972951197,0,0,No effect,NaN,NaN
Mean angle at swing - spine - base std,3.83762428217946,1.94195753335582,20,3.75854288675262,1.6864429404981,20,2.81148569216761,0.99551408803528,20,0.0852452928655265,1,0.138637082538244,0,0,No effect,NaN,NaN
Mean angle at swing - tail - base (°),7.15091954301641,4.13836627374879,20,7.442005867373,3.05330595802043,20,6.11174967717955,2.58335179486538,20,0.417959194088587,1,0.980563365400905,0,0,No effect,NaN,NaN
Mean angle at swing - tail - base std,2.56204300757595,1.90170143389161,20,2.21218092485503,1.04531965143432,20,2.63106610639225,1.38322048492295,20,0.635493188057864,1,1,0,0,No effect,NaN,NaN
Mean angle at swing - tail - tail 1 (°),174.974343915081,1.51649344817985,20,175.783166849361,1.57979284331432,20,175.163617413997,2.23646608732561,20,0.341117378859974,0.487226715654012,1,0,0,No effect,NaN,NaN
Mean angle at swing - tail - tail 1 std,2.04371076215418,1.04228182482256,20,1.32029109650904,1.15434398918231,20,1.83479873828997,1.07870796071096,20,0.107328562474351,0.122312190254602,1,0,0,No effect,NaN,NaN
Mean angle at swing - tail - tail 2 (°),168.434282145715,3.84727390366195,20,167.437999188684,2.34575408839245,20,167.000661961875,4.07544306931752,20,0.421365988960676,1,0.604281306028132,0,0,No effect,NaN,NaN
Mean angle at swing - tail - tail 2 std,3.03973406067275,1.49783832687623,20,2.48913900242682,1.51465797967184,20,2.61390439698444,1.33416290091887,20,0.458076825655928,0.705526300986478,1,0,0,No effect,NaN,NaN
Mean angle at swing - tail - tail 3 (°),169.611267875479,4.84234475517922,20,170.725440672126,3.66516512439077,20,168.111784222441,5.85142904978829,20,0.24281496201638,1,1,0,0,No effect,NaN,NaN
Mean angle at swing - tail - tail 3 std,3.36985118924679,1.96314255415089,20,2.23505406447926,1.17872914527382,20,3.70071665841686,2.34813347195664,20,0.0442086822503756,0.189464077628255,1,0,0,No effect,NaN,NaN
Mean angle at swing - tail - tail 4 (°),18.0457298884762,6.2686749678614,20,18.4465224512591,6.12499808037134,20,23.8785677161404,6.60498667220713,20,0.00782129288183147,1,0.0153935292484362,0,1,No effect,NaN,NaN
Mean angle at swing - tail - tail 4 std,5.77037056886474,2.61684331023459,20,4.79607975423252,3.34236813662857,20,6.19760817243915,3.60993085294708,20,0.375294057986069,1,1,0,0,No effect,NaN,NaN
Mean angle at peak - rforelimb - shoulder (°),51.0780859765846,6.82604090926278,20,50.4981220649525,7.21223748016778,20,46.8499541735455,7.03290613615917,20,0.128337000311058,1,0.186229311253594,0,0,No effect,NaN,NaN
Mean angle at peak - rforelimb - shoulder std,8.06899020509142,4.18661571133546,20,6.90398391858378,3.66169879645232,20,5.25067048611722,2.77591537506825,20,0.0520533187888054,0.926967742588384,0.047952300256519,0,1,No effect,NaN,NaN
Mean angle at peak - rforelimb - elbow (°),114.779139498562,4.50158054631065,20,117.168028780684,3.87121128607381,20,116.659294066329,4.08738615899009,20,0.169945976264905,0.224247893970227,0.475671030617032,0,0,No effect,NaN,NaN
Mean angle at peak - rforelimb - elbow std,3.63466971794418,2.08798145847333,20,2.38617928739866,1.38058507830575,20,3.52464730522135,1.95444057232798,20,0.0665606504009896,0.10662721796502,1,0,0,No effect,NaN,NaN
Mean angle at peak - rforelimb - wrist (°),128.997498342948,10.0464157834848,20,128.57012735572,7.8907693441546,20,128.291271607638,7.21745894701488,20,0.965372619738001,1,1,0,0,No effect,NaN,NaN
Mean angle at peak - rforelimb - wrist std,10.0024472819417,5.12456013837038,20,5.40764060494662,2.2469397065653,20,6.73197017653456,4.35316604559282,20,0.00248000398553813,0.00234104665775646,0.0429387042193185,1,1,Restoration,1.32432957158794,NaN
Mean angle at peak - rforelimb - lForepaw (°),166.98153307121,3.71004214870465,20,164.687845553705,5.19242072837173,20,161.835439268891,5.51926455729093,20,0.00600967958750224,0.426007432101481,0.00443739807500901,0,1,No effect,NaN,NaN
Mean angle at peak - rforelimb - lForepaw std,3.93474315630068,1.87180285182937,20,4.24556374462806,2.90768621276637,20,4.30831635626546,2.52064320783482,20,0.877377124950319,1,1,0,0,No effect,NaN,NaN
Mean angle at peak - rhindlimb - hip (°),92.0518118686605,6.412481652902,20,97.3968331906107,10.8769455173107,20,99.2038315974492,11.6118584323869,20,0.0679374257282125,0.279995749188154,0.0784228185616929,0,0,No effect,NaN,NaN
Mean angle at peak - rhindlimb - hip std,9.1647945659627,5.15826327325486,20,7.50104821362013,3.55460624132404,20,7.82595429265584,4.35615611862769,20,0.453657532747621,0.71191480293404,1,0,0,No effect,NaN,NaN
Mean angle at peak - rhindlimb - knee (°),89.7078682202382,2.77537795278411,20,86.9246207475464,2.97192702434906,20,86.1535590901966,1.36528473435177,20,6.8468517731379e-05,0.00231164794274034,8.92036492789733e-05,1,1,Worsening,NaN,0.771061657349762
Mean angle at peak - rhindlimb - knee std,2.6832541999617,1.42638974219708,20,2.30735533309183,1.11606612694903,20,2.01148686283704,0.813943466760638,20,0.187345975345699,0.912490245630817,0.207170136602736,0,0,No effect,NaN,NaN
Mean angle at peak - rhindlimb - ankle (°),63.7521468279272,10.2895476828432,20,57.3005375028076,6.3063668399749,20,56.1235684276017,4.39226112027418,20,0.00385987591214867,0.0238186604904199,0.00575685479748386,1,1,Worsening,NaN,1.17696907520593
Mean angle at peak - rhindlimb - ankle std,9.45267624659985,5.93951617912492,20,5.90198235148408,2.95586739861284,20,4.52735350360035,3.12330457466825,20,0.00161943887701977,0.0310193551784165,0.00156219028352314,1,1,Worsening,NaN,1.37462884788374
Mean angle at peak - rhindlimb - lHindpaw (°),161.607419991036,6.22393962901962,20,157.886413356518,4.14684404563216,20,158.855764409697,4.01468919748485,20,0.0525829628058241,0.0589013250349403,0.24343601804942,0,0,No effect,NaN,NaN
Mean angle at peak - rhindlimb - lHindpaw std,5.0756584336739,4.62405569837342,20,3.8604966373214,1.78251503327345,20,3.67324880171429,1.67700012845358,20,0.2884304926254,0.625435996822592,0.442639944513955,0,0,No effect,NaN,NaN
Mean angle at peak - rhindlimb - lHindfingers (°),131.677852361459,16.6363862344676,20,147.887602606976,14.5176226883409,20,149.527383901672,14.9075595893871,20,0.000725093729392505,0.00454686030501022,0.00160862773365758,1,1,Worsening,NaN,1.63978129469589
Mean angle at peak - rhindlimb - lHindfingers std,17.0332488804636,8.2700318002987,20,10.9501395779808,6.37820364955494,20,10.2905531944366,5.63118945005917,20,0.00473428109923255,0.020438788635269,0.00869524182705821,1,1,Worsening,NaN,0.659586383544177
Mean angle at peak - spine - head (°),42.5112886716697,3.67006072141131,20,38.9591174787974,3.79745389205219,20,40.5802388905676,3.06694756756907,20,0.00926759441788229,0.00702581257054986,0.266103021743764,1,0,No effect,NaN,NaN
Mean angle at peak - spine - head std,3.35116510043351,1.9355345442915,20,3.64348441467878,2.0172613553219,20,3.12150380926838,2.2420531084979,20,0.72761276967787,1,1,0,0,No effect,NaN,NaN
Mean angle at peak - spine - spine 1 (°),151.926536499659,3.34700961188436,20,154.799618791159,4.57917098054597,20,154.483599810284,4.15633857826528,20,0.057086193345,0.0874538019528518,0.153592541126347,0,0,No effect,NaN,NaN
Mean angle at peak - spine - spine 1 std,4.03240419624977,2.46767591893032,20,4.17792851908511,1.84234207931131,20,3.525788200531,1.68972910138528,20,0.568801145700745,1,1,0,0,No effect,NaN,NaN
Mean angle at peak - spine - spine 2 (°),175.029609167929,1.6850821253407,20,174.167523396785,3.2806210264979,20,174.901006723608,2.93819608296019,20,0.56116119399612,0.962646337383135,1,0,0,No effect,NaN,NaN
Mean angle at peak - spine - spine 2 std,2.34298923014244,2.02248504430382,20,2.45824422370864,2.0523337874964,20,2.37899352270961,1.52456679195487,20,0.980567817151847,1,1,0,0,No effect,NaN,NaN
Mean angle at peak - spine - spine 3 (°),153.205562241315,3.58430839592997,20,154.594813056211,4.30335862836005,20,153.481427014206,5.59335602839963,20,0.598451884522138,1,1,0,0,No effect,NaN,NaN
Mean angle at peak - spine - spine 3 std,4.80258481610703,2.59578134741216,20,4.1768163085595,1.78549575215787,20,3.7741659185115,1.79634726645964,20,0.301346517674756,1,0.377752601423917,0,0,No effect,NaN,NaN
Mean angle at peak - spine - spine 4 (°),166.317513343628,2.10374682784617,20,164.772627322926,2.52330131225049,20,163.788207386272,2.93716385850707,20,0.00979648464847877,0.17954254529778,0.00794468575851074,0,1,No effect,NaN,NaN
Mean angle at peak - spine - spine 4 std,2.08187621607141,1.11757237868813,20,2.32253353999719,1.07435083909515,20,1.84168391099748,0.98770426514814,20,0.364790334206501,1,1,0,0,No effect,NaN,NaN
Mean angle at peak - spine - base (°),29.1449433917247,3.48584334532403,20,29.1759873002537,4.28919189075388,20,30.85533640896,4.99086281228373,20,0.361375806730271,1,0.640569564026569,0,0,No effect,NaN,NaN
Mean angle at peak - spine - base std,3.76447662941994,2.01724415279087,20,3.67615281840078,1.45268927908261,20,2.84471509354218,1.32767995014443,20,0.152312107190589,1,0.237487240973686,0,0,No effect,NaN,NaN
Mean angle at peak - tail - base (°),6.8879454947984,3.49684292716157,20,7.34498010364726,2.8337877550792,20,6.21953090205054,2.51473383580924,20,0.489617808730541,1,1,0,0,No effect,NaN,NaN
Mean angle at peak - tail - base std,2.67498388176547,1.66496781256389,20,1.88829923391697,1.00833704032993,20,2.48710363954169,1.44586088039266,20,0.187780850927344,0.242695446557108,1,0,0,No effect,NaN,NaN
Mean angle at peak - tail - tail 1 (°),175.104814615695,1.47598640117288,20,175.594550513279,1.60623981236955,20,175.392134029719,2.6531433528332,20,0.736132782822797,1,1,0,0,No effect,NaN,NaN
Mean angle at peak - tail - tail 1 std,1.70217289769392,1.25987207841408,20,1.32819712418743,0.928853858450186,20,1.59932059716805,0.80631350610962,20,0.489997596644483,0.748604721134038,1,0,0,No effect,NaN,NaN
Mean angle at peak - tail - tail 2 (°),167.949358849972,3.63464818014031,20,167.811441553857,2.5397428783071,20,166.997926072297,4.50950336882631,20,0.674479710875296,1,1,0,0,No effect,NaN,NaN
Mean angle at peak - tail - tail 2 std,2.90108548179388,1.31305095345106,20,2.49798707491362,1.23547089645955,20,2.42570182982953,1.41653630967408,20,0.477480405840441,1,0.782604086618255,0,0,No effect,NaN,NaN
Mean angle at peak - tail - tail 3 (°),170.313742454665,4.26448148535339,20,170.915031658536,4.16020322862502,20,168.665658623741,5.08387280778342,20,0.273437713212917,1,0.761677860238532,0,0,No effect,NaN,NaN
