Feature,Mean_Healthy,SD_Healthy,N_Healthy,Mean_Sick,SD_Sick,N_Sick,Mean_Treated,SD_Treated,N_Treated,p_ANOVA,p_Healthy_vs_Sick,p_Sick_vs_Treated,InjuryChange,TreatmentEffect,FinalEffect,EffectSize_Benefit,EffectSize_Harm
Mean angle excursion - spine - spine 2 (°),16.8233154455121,4.20577845956726,20,17.3721240490863,5.89299713002527,20,18.7345226964045,6.46931091754082,20,0.543480215260668,1,0.856501736180564,0,0,No effect,NaN,NaN
Mean angle excursion - spine - spine 2 std,5.48650710384949,3.36380074477397,20,5.8518198177533,3.39102881172381,20,5.99222351020438,2.95380806380181,20,0.878658407194417,1,1,0,0,No effect,NaN,NaN
Mean angle excursion - spine - spine 3 (°),16.5334516019931,2.57398658815622,20,18.5362180495678,2.60150240305973,20,19.0214038689508,2.15081665475071,20,0.00513043766777761,0.0370428483228998,0.00654055969122619,1,1,Worsening,NaN,0.485185819382913
Mean angle excursion - spine - spine 3 std,2.3545924847165,1.18725880890643,20,2.47963191720092,1.81931797942976,20,2.42066505372972,1.65042358605277,20,0.968967725874579,1,1,0,0,No effect,NaN,NaN
Mean angle excursion - spine - spine 4 (°),14.1578920087944,1.37712982238915,20,14.0006507642185,1.62886560555979,20,15.4187782568471,1.74218974227731,20,0.0120455564810236,1,0.0450828512707289,0,1,No effect,NaN,NaN
Mean angle excursion - spine - spine 4 std,1.97750034193625,0.990486387361162,20,2.15456244270293,1.25026655356987,20,2.28523271750786,1.22604547538202,20,0.703670868902203,1,1,0,0,No effect,NaN,NaN
Mean angle excursion - spine - base (°),18.5681620175451,3.97637508373837,20,18.8815881369372,3.48099207783383,20,19.9361735265807,3.26847223051924,20,0.455122354204539,1,0.698580070712991,0,0,No effect,NaN,NaN
Mean angle excursion - spine - base std,3.48392613950283,2.24464525397006,20,3.77666396650027,1.82431706339148,20,3.44572350346138,1.86153354486651,20,0.847263859238527,1,1,0,0,No effect,NaN,NaN
Mean angle excursion - tail - base (°),21.3385702970194,6.55446613424122,20,19.652892029566,4.59628600443848,20,16.2769194108835,5.01630450827633,20,0.0157832081554401,0.997641617773976,0.0144184648329145,0,1,No effect,NaN,NaN
Mean angle excursion - tail - base std,6.50853686337829,5.27381537614499,20,6.11052952772238,4.2613927410015,20,4.30580954280164,3.26637881776122,20,0.240881192174359,1,0.343339782461429,0,0,No effect,NaN,NaN
Mean angle excursion - tail - tail 1 (°),57.4153393490015,28.7858469259663,20,51.0307984701904,28.1520924794939,20,42.415675793239,23.4306621859088,20,0.217612878537767,1,0.249483935713933,0,0,No effect,NaN,NaN
Mean angle excursion - tail - tail 1 std,34.5037051310799,20.7919115254386,20,33.4957693866105,22.9055185378748,20,27.8034044007688,22.3942470898905,20,0.587453664235551,1,1,0,0,No effect,NaN,NaN
Mean angle excursion - tail - tail 2 (°),130.284602566847,45.0604745184217,20,138.478628257811,38.9241794263408,20,116.776992158707,58.8669950161955,20,0.364336780904922,1,1,0,0,No effect,NaN,NaN
Mean angle excursion - tail - tail 2 std,50.4792661405774,31.6859409564171,20,51.7940430945387,32.2029842200445,20,45.3399562604672,32.2366400621568,20,0.797958638705309,1,1,0,0,No effect,NaN,NaN
Mean angle excursion - tail - tail 3 (°),131.397679903548,40.7292404029977,20,135.824618301883,31.8683310260035,20,117.385921935393,47.896003681296,20,0.333713545646374,1,0.84249574518221,0,0,No effect,NaN,NaN
Mean angle excursion - tail - tail 3 std,41.4606673585118,27.6264558507881,20,36.261469011738,18.4029457776686,20,42.5805104847881,27.0385267735278,20,0.6909058003918,1,1,0,0,No effect,NaN,NaN
Mean angle excursion - tail - tail 4 (°),118.720211414794,30.6782502920969,20,124.692549726887,27.0734941543674,20,106.734901091061,38.8251240985556,20,0.215430316805188,1,0.748014556264094,0,0,No effect,NaN,NaN
Mean angle excursion - tail - tail 4 std,35.2029040401796,15.0566795507999,20,30.0136652005672,15.5986590968189,20,37.285718215543,21.0393601470909,20,0.403570739882591,1,1,0,0,No effect,NaN,NaN
Mean phase excursion - rforelimb - shoulder (°),56.9769900507893,2.47864800932327,20,58.9255807872155,3.23756030200746,20,56.6569927661512,2.33725034826026,20,0.0217843170225601,0.0808439838603282,1,0,0,No effect,NaN,NaN
