Dataset,Mouse,Run,Number of steps (#),Number of steps std,Mean step height (m),Mean step height std,Mean step length (m),Mean step length std,Mean step duration (s),Mean step duration std,Mean step frequency (Hz),Mean step frequency std,Mean propulsion vector angle (deg),Mean propulsion vector angle std,Time mean,Time std,Instant speed - Spine - X mean,Instant speed - Spine - X std,Instant speed - Spine - Y mean,Instant speed - Spine - Y std
postDLC,7,0,2,,0.0081110088641827,0.0007883864182692268,0.09853655301607572,0.002903336745042062,0.1440536013400335,0.007581768491580737,6.9611434108527135,0.007581768491580737,21.73113683542931,0.11186183617152763,0.4296482412060302,0.24950393955433856,0.44594574056072606,0.07180784242091037,0.0012217178185496417,0.0646314206612346
postDLC,7,1,4,,0.006529435377854567,0.0004979996564640947,0.08197588407076323,0.026092172437124566,0.11499408808749631,0.03921455263095294,10.507270487563234,0.03921455263095294,20.193468960582127,5.891033122017162,0.4271356783919598,0.2480532860761577,0.4455491635838376,0.07655092644701894,-0.0019296509637916697,0.06416273425458006
postDLC,7,2,3,,0.00508124718299278,0.0010447009532659145,0.05200181618714944,0.0139884289708058,0.12787404886915898,0.051200513603194706,10.068171953914137,0.051200513603194706,14.044219892663719,4.268647096006603,0.5603015075376885,0.3249376169944111,0.2324425916575687,0.06817272984437037,-0.005867390462330398,0.03962982593882139
postDLC,8,0,5,,0.005047835129957934,0.0021906742159145468,0.052184286264272836,0.03050013111138251,0.13705995542450547,0.08816899831419563,12.550452806122452,0.08816899831419563,14.80705656497912,7.779818944152443,0.9120603015075376,0.5280268967838463,0.20526995584171365,0.07634794758965809,0.00121718349978096,0.02684940351006
postDLC,8,1,3,,0.005683077298677878,0.0012357024275511607,0.076187744140625,0.004766242950074314,0.15155565059339246,0.02182650828609509,6.751871736348861,0.021826508286095097,13.9608165664049,6.279217264830175,0.4723618090452261,0.2741650087549873,0.2784522725717133,0.058174181939428686,0.00046270049357411433,0.04110794144953845
postDLC,8,2,1,,0.005295398418719954,0.0,0.06951089712289665,0.0,0.11608704314524165,0.0,8.614225781845917,0.0,5.000341070515188,0.0,0.5703517587939698,0.3307401890706891,0.29927025875635527,0.06079156803753817,0.0006613366474077893,0.05386029957748207
postDLC,8,3,4,,0.005846572289100058,0.0005039014424196213,0.07549112466665414,0.004571799869031376,0.14639104613978984,0.0094438817094226,6.858408464328851,0.0094438817094226,11.404093860097916,5.068666648433909,0.5527638190954773,0.32058568658766995,0.28048336831471365,0.06925667147912434,0.00179795690638959,0.05383525925714938
postDLC,9,0,4,,0.0076169586181640825,0.0007156436297001263,0.08503241025484524,0.005883408258782762,0.13622110552763825,0.006179114828528389,7.355610469018901,0.006179114828528389,21.10012586915523,12.544502425647156,0.6281407035175881,0.364104943371594,0.308600639827844,0.07346527090135388,-0.0011321978540290963,0.039550677502157634
postDLC,9,1,4,,0.0062641877394455925,0.0009857152323657138,0.08401909167949971,0.0034790313481264275,0.12498152527342596,0.01689029136400894,8.148577084069093,0.01689029136400894,10.803064019849137,6.245787333969949,0.5125628140703519,0.2973753693570551,0.366186713671371,0.07634767361457793,-0.0010366824151874555,0.04573556514179529
postDLC,9,2,4,,0.0066483306884765475,0.0006307087518486903,0.07222106933593749,0.011454114766247593,0.10361400023372679,0.023023621146312442,10.289193283051036,0.023023621146312446,17.84890501594608,5.480386555552436,0.4321608040201005,0.2509545927474125,0.3499802931845939,0.0642968868585891,0.0034876117505584746,0.060307405254373135
postDLC,9,3,6,,0.005413008469801685,0.001515678265225266,0.05807657779791415,0.02588343846504387,0.11267671691792293,0.03342396204691661,9.984914354715855,0.03342396204691661,13.99673569616464,7.848710237258725,0.6281407035175881,0.364104943371594,0.30077587416447493,0.06243844954215443,-0.00363336309225863,0.053626437313988716
postDLC,9,4,4,,0.005787690969613887,0.0001318468125478683,0.08285257192758412,0.006121007539423356,0.10734594022745304,0.006562186675065914,9.350195559050556,0.006562186675065914,19.456779482942803,3.158082146780594,0.4773869346733668,0.27706630657467785,0.40144981086102083,0.07038463140855968,-0.0010098010188766167,0.05929700593809303
