Dataset and Mouse and Run,Number of steps (#),Number of steps std,Mean step height (m),Mean step height std,Mean step length (m),Mean step length std,Mean step duration (s),Mean step duration std,Mean step frequency (Hz),Mean step frequency std,Mean propulsion vector angle (deg),Mean propulsion vector angle std,Time mean,Time std,Instant speed - Spine - X mean,Instant speed - Spine - X std,Instant speed - Spine - Y mean,Instant speed - Spine - Y std
preDLC - mouse1 - 0,2.0,,0.005676621657151437,1.8650935246389277e-05,0.06445974496694712,0.002790081317608162,0.1714778270916627,0.025217327513479812,5.960562655735069,0.025217327513479812,6.328800720737278,0.5060823883766734,0.6884422110552764,0.39892028717566513,0.13595012861487477,0.08252623817633456,0.001505065868173175,0.026911463859070943
preDLC - mouse1 - 1,3.0,,0.006150164481921072,0.0014291369723640028,0.03615814991486379,0.007644027190112605,0.05221477759166201,0.02117192184334407,22.44705340699816,0.021171921843344075,12.144127973733399,1.1080175216457258,0.45226130653266333,0.2625598085952388,0.36671374380157906,0.08119687964033553,0.0006503512869814661,0.06743298628877753
preDLC - mouse1 - 2,4.0,,0.006786493154672474,0.0017091306567869446,0.04358195965106672,0.02778926722274796,0.0644040515075377,0.03718369647477938,24.405002142662326,0.03718369647477938,8.986263418423562,5.211977245039605,0.4824120603015075,0.27996760356148986,0.38069645605572533,0.07580424496789473,-0.00023378662336423394,0.06857228727774134
preDLC - mouse2 - 0,1.0,,0.004819124661959162,0.0,0.04724900465745191,0.0,0.09117013639626703,0.0,10.968503937007876,0.0,6.506787966786773,0.0,0.3165829145728644,0.18422414854093827,0.33795255548853403,0.15480180672322763,-0.001734596235497488,0.04649301363494302
preDLC - mouse2 - 1,4.0,,0.0028554887038010762,0.0008155497315587547,0.029976811042198764,0.024343345296734493,0.052980954153483466,0.02510256370887512,22.26884321459385,0.02510256370887512,23.324500357510306,30.647364084853,0.6105527638190955,0.3539504587499667,0.27859661466336744,0.10468876573991019,0.0003093888089154719,0.04222329044268704
preDLC - mouse2 - 2,3.0,,0.005043784899589325,0.0004955379567985616,0.07853192060421675,0.002634176706166816,0.11790433649730132,0.016674191173708462,8.66377499919227,0.016674191173708452,4.28488491011272,0.28630503323842765,0.45226130653266333,0.2625598085952388,0.4131420523398557,0.0779431043367061,-0.0007773420293602663,0.0520538871106887
preDLC - mouse3 - 0,3.0,,0.0061998377090845365,7.516764116332448e-05,0.07066574292305187,0.00922978222325084,0.10777290708863464,0.0063007702172233025,9.309933871562583,0.006300770217223304,6.445365293655977,0.5637793842476089,0.4723618090452261,0.2741650087549873,0.396360171267207,0.08332764319041043,-0.0019919614852679937,0.06970818418791949
preDLC - mouse3 - 1,5.0,,0.004424231896033659,0.0004067138922069927,0.05746341646634615,0.016954832362768072,0.13811871859296482,0.021291163876581837,7.430386232440436,0.021291163876581837,5.8509710840513405,1.559456865291544,0.8040201005025126,0.46564959072412876,0.22850030120430936,0.10898651562132902,-0.0002884480031270438,0.05116983590715909
preDLC - mouse3 - 2,2.0,,0.004615924541766847,0.0005350083571213915,0.05736057574932393,0.0019810544527494034,0.12108542713567838,0.0252261306532664,8.633343215161137,0.0252261306532664,5.908054456786746,0.6726366895716246,0.6281407035175881,0.364104943371594,0.2958370844230843,0.11697344225286772,0.0016491812775066604,0.05872735822819281
preDLC - mouse4 - 0,6.0,,0.003923200949644416,0.0020084143397409112,0.033135606814653454,0.02744082832965814,0.06305473728797242,0.056903188610519274,27.770814912513384,0.056903188610519274,5.960227397688185,1.8422481044929053,0.6557788944723618,0.3800619816838651,0.2955838374061159,0.07155264000368586,8.421544903619307e-05,0.04415307301155635
preDLC - mouse4 - 1,4.0,,0.006221169691819392,0.0012249895599498566,0.06348474649282602,0.013568770887955972,0.0996994102934765,0.04846871528105978,12.06831525482094,0.04846871528105978,7.136925731151626,2.2214160513374703,0.550251256281407,0.3191350428523548,0.3736693760598456,0.08501459485878433,-0.0011483593387203405,0.058041609601599355
preDLC - mouse5 - 0,4.0,,0.0035342818040114132,0.0014401587926133725,0.03494434063251203,0.024372107556829278,0.09316053953980427,0.05544994763120624,14.403260037122967,0.05544994763120624,22.53026105592666,30.748537304282802,1.1934673366834172,0.6904977931488088,0.152692329105286,0.08618420043170169,-0.0001118846187250397,0.030876432240683985
preDLC - mouse5 - 1,3.0,,0.005762184338691893,0.00039464618402637667,0.08314495380108174,0.007925219653893213,0.1112147564168146,0.012382700231323488,9.105190817953977,0.012382700231323488,4.427674085857777,1.559326051252438,0.41959798994974873,0.24370132388006038,0.44218262944029363,0.11292295409316656,-0.002662261641505858,0.05342275970793945
preDLC - mouse5 - 2,4.0,,0.005143514779897829,0.000933775734049041,0.07383445739746095,0.005483922481471636,0.13503312014618546,0.039324765368263126,7.931159420289856,0.039324765368263126,4.661447224379883,0.6956705507231319,0.5527638190954773,0.32058568658766995,0.3442557692486278,0.1059475822056592,-0.0033562861618606945,0.05792369395608931
preDLC - mouse6 - 0,4.0,,0.005194109403170069,0.00045899809042941045,0.06409972557654747,0.005923419543770188,0.12473027964027635,0.010911069776728894,8.0777870919789,0.010911069776728892,6.349024776416798,0.8038929175344538,0.8718592964824121,0.504816744095549,0.2199886362017905,0.05582570092904514,0.0005847363706679126,0.03314076301929458
