feature,importance,change_score,change_effect_size,combined_rank,direction
Mean angle during swing - rhindlimb - knee (°)_cos,0.00399280873332399,-6.987448352924197e-06,-0.42932605794639384,0.0017142168336119225,away_from_healthy
Mean step duration (s),0.003029194281427407,0.0234519055495159,0.5331833671380676,0.0016151160066868438,towards_healthy
Mean phase during swing - rhindlimb - knee (°)_sin,0.00777347571354282,-0.0016326849446381964,-0.1865900191338165,0.0014504529821262127,away_from_healthy
Mean phase velocity during swing - rhindlimb - lHindpaw (rad/s)_sin,0.003636426260865924,0.2365307708226528,0.3908037705599146,0.0014211290941094946,towards_healthy
Mean angle during stance - rhindlimb - knee (°)_cos,0.00418938583252509,6.410178462923355e-06,0.3352006368447005,0.001404284799050576,towards_healthy
Mean step acceleration X during stance - lHindfingers (m/s^2),0.01055818308384938,0.07657035772861454,0.11980416211019017,0.0012649142777665587,towards_healthy
Mean angle during stance - rhindlimb - lHindfingers (°)_sin,0.0018101033266250662,-0.0007379888831065551,-0.6890557536884587,0.0012472621119816213,away_from_healthy
Mean angle acceleration during stance - rhindlimb - knee (rad/s^2)_cos,0.0035673744603841834,-0.173931313180827,-0.3434023982121836,0.0012250449450168228,away_from_healthy
Mean phase velocity during stance - rhindlimb - knee (rad/s)_sin,0.0032889653889680097,0.24525805973744452,0.35543314780556007,0.001169007321224438,towards_healthy
Mean step jerk Y during swing - lHindfingers (m/s^3),0.004133958131261804,7.75888692250961,0.28098197278902975,0.0011615677111491923,towards_healthy
Mean angle excursion - rhindlimb - lHindfingers (°),0.0012067674283128761,-11.444365109710859,-0.9222433636494883,0.0011129332522299097,away_from_healthy
Mean step jerk Y during swing - knee (m/s^3),0.0016509084626554708,-17.026876615994617,-0.6505045406920555,0.0010739234512243245,away_from_healthy
Mean phase acceleration - rhindlimb - knee (rad/s^2)_sin,0.006067047977774023,-0.11757185040449958,-0.1682774241541959,0.0010209472059197356,away_from_healthy
Mean step jerk Y during swing - ankle (m/s^3),0.0009629893700895269,-21.31164874342754,-1.0566515425834613,0.0010175442033965743,away_from_healthy
Mean phase acceleration during swing - rhindlimb - hip (rad/s^2)_sin,0.0030987100251590924,0.22120913499403372,0.32724082618339523,0.0010140244287358308,towards_healthy
Mean angle acceleration during swing - rhindlimb - hip (rad/s^2)_sin,0.003089143448793734,0.2212091349992868,0.32724082619086675,0.001010893854405365,towards_healthy
Mean step jerk Y during stance - ankle (m/s^3),0.0018980073041440738,-14.196733235499977,-0.5298480273773163,0.0010056554260484754,away_from_healthy
Mean angle excursion - rhindlimb - knee (°),0.0023654313420017666,-2.213905217388138,-0.41630949390297267,0.000984751524850985,away_from_healthy
