Feature,Mean Healthy Left C,SD Healthy Left C,Mean Sick Left E,SD Sick Left E,Number of samples in Healthy Left C,Number of samples in Sick Left E,p-value Healthy Left C vs Sick Left E,Significance,Statistical Test,feature,change value,change_effect_size,direction
Mean angle acceleration at peak - rhindlimb - hip (rad/s^2),212.75076331851741,320.09274286139146,103.90743995027978,251.4275886126198,10,10,0.819595981963066,n.s.,Circular,Mean angle acceleration at peak - rhindlimb - hip (rad/s^2),144.0201246742691,0.42956570704158525,towards_healthy
Mean angle acceleration at peak - rhindlimb - hip std,380.98644761596296,214.5398572035175,288.40673547061266,174.77759085148045,10,10,0.337393668287925,n.s.,Levene,Mean angle acceleration at peak - rhindlimb - hip std,-51.215728564105405,-0.22573082088387547,away_from_healthy
Mean angle acceleration at peak - rhindlimb - knee (rad/s^2),168.66298660443044,220.6394147525379,329.01843543374116,228.87604668226095,10,10,0.8874060294089487,n.s.,Circular,Mean angle acceleration at peak - rhindlimb - knee (rad/s^2),139.42802606704552,0.4507481797862706,towards_healthy
Mean angle acceleration at peak - rhindlimb - knee std,408.6645380750887,220.0640778069401,250.0146063690237,105.60736226215656,10,10,0.04286566916225502,*,Levene,Mean angle acceleration at peak - rhindlimb - knee std,28.885703418669294,0.2681604331204849,towards_healthy
Mean angle acceleration at peak - rhindlimb - lHindfingers (rad/s^2),1272.076311663359,826.3269314375453,-324.04155111586715,574.7001683775095,10,10,0.01811624371345493,*,Circular,Mean angle acceleration at peak - rhindlimb - lHindfingers (rad/s^2),-61.12192076256042,-0.06588486103238661,away_from_healthy
Mean angle acceleration at peak - rhindlimb - lHindfingers std,1349.807478741761,813.2159227203921,698.5902460174751,372.01798338024815,10,10,0.11614115127988,n.s.,Levene,Mean angle acceleration at peak - rhindlimb - lHindfingers std,-230.22849837822753,-0.366021629043179,away_from_healthy
Mean angle acceleration at peak - rhindlimb - lHindpaw (rad/s^2),-501.52572276585806,534.3603675883733,-64.31893238463874,525.0210275337014,10,10,0.013738676245968667,*,Circular,Mean angle acceleration at peak - rhindlimb - lHindpaw (rad/s^2),-126.35164223451352,-0.18529654125397904,away_from_healthy
Mean angle acceleration at peak - rhindlimb - lHindpaw std,723.655754937723,520.851932274556,721.9031143706117,209.6523645156935,10,10,0.0664702212232696,n.s.,Levene,Mean angle acceleration at peak - rhindlimb - lHindpaw std,53.08237630573785,0.07511624092387773,towards_healthy
Mean angle acceleration at peak - spine - base (rad/s^2),15.674210548486034,70.62480427928871,58.40678202382918,52.789801745218675,10,10,0.06843881760135853,n.s.,Circular,Mean angle acceleration at peak - spine - base (rad/s^2),-6.220980673026531,-0.08158159594989212,away_from_healthy
Mean angle acceleration at peak - spine - base std,82.96981390123753,48.77422962425426,55.63371216246052,40.88053683594169,10,10,0.8948895541853287,n.s.,Levene,Mean angle acceleration at peak - spine - base std,-23.967030256293917,-0.4961583058663746,away_from_healthy
Mean angle acceleration at peak - spine - head (rad/s^2),-13.258322588679164,34.968066330142854,9.739030669317183,38.45826303464255,10,10,0.12340865707040685,n.s.,Circular,Mean angle acceleration at peak - spine - head (rad/s^2),0.5265571711730601,0.009760726536710462,towards_healthy
Mean angle acceleration at peak - spine - head std,49.7530308575607,31.332501602756047,60.88635355861984,21.35184851233855,10,10,0.46766768223055855,n.s.,Levene,Mean angle acceleration at peak - spine - head std,-2.289438752835075,-0.0669431753085286,away_from_healthy
Mean angle acceleration at peak - spine - spine 1 (rad/s^2),30.504548644728338,78.43085912764664,49.96150415451077,57.65480645612602,10,10,0.11610823145104514,n.s.,Circular,Mean angle acceleration at peak - spine - spine 1 (rad/s^2),-6.8659473749375906,-0.09389501987581422,away_from_healthy
