Feature,Statistical Test,Global p-value,Global significance,Mean Healthy Left B,SD Healthy Left B,Number of samples in Healthy Left B,Mean Sick Left C,SD Sick Left C,Number of samples in Sick Left C,Mean Sick Left E,SD Sick Left E,Number of samples in Sick Left E,p-value Healthy Left B vs Sick Left C,Significance Healthy Left B vs Sick Left C,p-value Healthy Left B vs Sick Left E,Significance Healthy Left B vs Sick Left E,p-value Sick Left C vs Sick Left E,Significance Sick Left C vs Sick Left E,feature,change value,change_effect_size,direction
Mean angle acceleration - spine - spine 4 std,Levene,0.803041070651922,n.s.,68.85276069882146,21.97216251817487,10,39.300196307128616,23.496731808346137,10,23.16342658228139,14.167904034217651,10,1.0,n.s.,1.0,n.s.,1.0,n.s.,Mean angle acceleration - spine - spine 4 std,-16.136769724847227,-0.7093951444412694,away_from_healthy
Mean angle acceleration - tail - base (rad/s^2),Circular,0.04682192040180274,*,-15.628591558864255,6.62462822729565,10,-15.414554352468974,5.116563485806981,10,-10.233038335434715,3.5403772547503385,10,0.4683113399994371,n.s.,0.47803354655513386,n.s.,0.5580738846145674,n.s.,Mean angle acceleration - tail - base (rad/s^2),-5.181516017034259,-0.8754301995483019,away_from_healthy
Mean angle acceleration - tail - base std,Levene,0.2649971556366624,n.s.,5.325848247960713,1.8277597126700762,10,6.460836361626107,4.285980160582701,10,4.881003881077886,3.806766268887787,10,0.6241165849144712,n.s.,0.19594443321037036,n.s.,1.0,n.s.,Mean angle acceleration - tail - base std,0.6901437467825673,0.20946975641025145,towards_healthy
Mean angle acceleration - tail - tail 1 (rad/s^2),Circular,0.13246067973092265,n.s.,-231.2805560535012,52.21697799144196,10,-208.78051151504752,48.55416119641781,10,-187.97249267311386,20.59356636419263,10,0.029681326768306544,*,0.5252004914483972,n.s.,0.7793727658712709,n.s.,Mean angle acceleration - tail - tail 1 (rad/s^2),-20.80801884193366,-0.4127032237582359,away_from_healthy
Mean angle acceleration - tail - tail 1 std,Levene,0.6893553262113064,n.s.,78.71489132870322,28.53997083285101,10,35.230117847700186,21.92477026141893,10,32.87401316501482,19.342320890966924,10,1.0,n.s.,1.0,n.s.,1.0,n.s.,Mean angle acceleration - tail - tail 1 std,-2.3561046826853627,-0.09258420239974048,away_from_healthy
Mean angle acceleration - tail - tail 2 (rad/s^2),Circular,0.11895328526831606,n.s.,-174.36933218934342,39.9557648054609,10,-154.3145462832563,53.421617131052045,10,-140.2533263919766,23.207628086938747,10,1.0,n.s.,0.07215227054011546,n.s.,0.08076499086493966,n.s.,Mean angle acceleration - tail - tail 2 (rad/s^2),-14.061219891279706,-0.29808613543774864,away_from_healthy
Mean angle acceleration - tail - tail 2 std,Levene,0.45568308049988593,n.s.,67.05319073174402,41.09937554328817,10,38.76640714884551,32.07392445211875,10,36.82378690868563,21.475646120291493,10,1.0,n.s.,0.6074088122977104,n.s.,1.0,n.s.,Mean angle acceleration - tail - tail 2 std,-1.9426202401598758,-0.052697079356884474,away_from_healthy
Mean angle acceleration - tail - tail 3 (rad/s^2),Circular,0.04544880824692138,*,-205.4881552064913,46.786843202974346,10,-171.2449210984155,44.35555085509724,10,-156.3151455576609,38.14454453013506,10,1.0,n.s.,1.0,n.s.,1.0,n.s.,Mean angle acceleration - tail - tail 3 (rad/s^2),-14.929775540754576,-0.32749779164739407,away_from_healthy
Mean angle acceleration - tail - tail 3 std,Levene,0.3689602602129047,n.s.,69.76078255176736,28.572501781291862,10,31.992771020877456,30.015461934519166,10,30.900607598805266,15.053881142722652,10,1.0,n.s.,0.2394460955163433,n.s.,1.0,n.s.,Mean angle acceleration - tail - tail 3 std,-1.0921634220721899,-0.03727155744341795,away_from_healthy
Mean angle acceleration - tail - tail 4 (rad/s^2),Circular,0.07384591378125305,n.s.,-74.56377357734924,30.042172192100804,10,-72.7531214623957,14.893209492945962,10,-72.32087162150604,11.775943193096083,10,0.013036565651230542,*,0.024213669657346622,*,1.0,n.s.,Mean angle acceleration - tail - tail 4 (rad/s^2),-0.43224984088965357,-0.01823060359660696,away_from_healthy
Mean angle acceleration - tail - tail 4 std,Levene,0.20600225728397067,n.s.,28.76391212342462,17.798943699815094,10,18.182078507933674,11.021524315392497,10,15.583608581057081,10.96011070730175,10,0.5173613937852257,n.s.,0.43299368258553783,n.s.,1.0,n.s.,Mean angle acceleration - tail - tail 4 std,-2.598469926876593,-0.17553295029327096,away_from_healthy
Mean angle acceleration at peak - rforelimb - elbow (rad/s^2),Circular,0.7266370768647945,n.s.,23.63224153958518,94.66281938248989,10,46.648667905732154,166.47127007759602,10,50.24937152526385,139.22650237497416,10,0.9524259527185097,n.s.,1.0,n.s.,1.0,n.s.,Mean angle acceleration at peak - rforelimb - elbow (rad/s^2),-3.600703619531693,-0.026590396474340666,away_from_healthy
Mean angle acceleration at peak - rforelimb - elbow std,Levene,0.558452338992877,n.s.,244.5658852382992,99.07955272856152,10,130.8547896657281,81.11200190517337,10,269.39173088883973,130.30106839877925,10,1.0,n.s.,1.0,n.s.,0.9388468890022745,n.s.,Mean angle acceleration at peak - rforelimb - elbow std,88.88524992203054,0.981695661385464,towards_healthy
Mean angle acceleration at peak - rforelimb - lForepaw (rad/s^2),Circular,0.20664702455265546,n.s.,-321.6180866015658,293.6009198089804,10,-518.0154470959453,369.93084806559256,10,-347.7410781522668,332.9733493340014,10,0.43326591734795583,n.s.,0.8967148606138796,n.s.,0.9666275610079527,n.s.,Mean angle acceleration at peak - rforelimb - lForepaw (rad/s^2),170.2743689436785,0.5098739685750611,towards_healthy
Mean angle acceleration at peak - rforelimb - lForepaw std,Levene,0.7895531841141662,n.s.,407.4444804044226,299.8536217195506,10,330.9502532931481,245.7536719652339,10,299.3654527281781,237.3319270322349,10,1.0,n.s.,1.0,n.s.,1.0,n.s.,Mean angle acceleration at peak - rforelimb - lForepaw std,-31.584800564969953,-0.11521351970010456,away_from_healthy
Mean angle acceleration at peak - rforelimb - shoulder (rad/s^2),Circular,0.39432910875099486,n.s.,64.36507151686102,138.5520193783839,10,116.12435147464089,90.94143799815086,10,102.53746782022681,71.25028328903252,10,0.23281234710281395,n.s.,1.0,n.s.,0.2599741345526578,n.s.,Mean angle acceleration at peak - rforelimb - shoulder (rad/s^2),13.58688365441408,0.11593890212261865,towards_healthy
Mean angle acceleration at peak - rforelimb - shoulder std,Levene,0.11212551033446755,n.s.,200.24147906538738,107.24179240369808,10,97.23771875180688,57.21209016518887,10,144.96188920878257,51.357608565646416,10,0.3591675372438593,n.s.,0.3152725616476697,n.s.,1.0,n.s.,Mean angle acceleration at peak - rforelimb - shoulder std,47.724170456975685,0.5552696889446829,towards_healthy
Mean angle acceleration at peak - rforelimb - wrist (rad/s^2),Circular,0.2783093624550081,n.s.,229.41456977523916,345.44452497918616,10,546.1519388106885,426.5150630952143,10,374.64690210926,308.67726553379816,10,0.21754105002387247,n.s.,0.1129922060918578,n.s.,0.7214324046628073,n.s.,Mean angle acceleration at peak - rforelimb - wrist (rad/s^2),171.50503670142854,0.44190660992819264,towards_healthy
Mean angle acceleration at peak - rforelimb - wrist std,Levene,0.9720602868601372,n.s.,444.35892040575266,197.74188229291508,10,376.8774956955282,266.27793436118185,10,324.11146860632886,234.6901453577325,10,1.0,n.s.,1.0,n.s.,1.0,n.s.,Mean angle acceleration at peak - rforelimb - wrist std,-52.766027089199326,-0.22498917391695408,away_from_healthy
Mean angle acceleration at peak - rhindlimb - ankle (rad/s^2),Circular,0.03235271594664976,*,166.81255454975084,647.2676870743554,10,933.972811011412,264.1317147662401,10,705.2553585170342,386.33221884289753,10,1.0,n.s.,0.14788276330251143,n.s.,0.4283130779448431,n.s.,Mean angle acceleration at peak - rhindlimb - ankle (rad/s^2),228.71745249437777,0.46268326652148073,towards_healthy
Mean angle acceleration at peak - rhindlimb - ankle std,Levene,0.5239930141245175,n.s.,977.0307765930336,390.31384252227053,10,497.2965876255498,250.79460963423858,10,496.3912076625883,279.7360963248373,10,0.9332411909230139,n.s.,1.0,n.s.,1.0,n.s.,Mean angle acceleration at peak - rhindlimb - ankle std,-0.9053799629615469,-0.0027598248960265842,away_from_healthy
Mean angle acceleration at peak - rhindlimb - hip (rad/s^2),Circular,0.40951680522714945,n.s.,164.6739610088399,356.0694155019595,10,-40.11268472398932,313.0900226113156,10,103.90743995027978,251.4275886126198,10,1.0,n.s.,1.0,n.s.,1.0,n.s.,Mean angle acceleration at peak - rhindlimb - hip (rad/s^2),144.0201246742691,0.42956570704158525,towards_healthy
Mean angle acceleration at peak - rhindlimb - hip std,Levene,0.7994991007710489,n.s.,379.69589089269596,174.9374643445488,10,339.62246403471806,268.9863775323927,10,288.40673547061266,174.77759085148045,10,1.0,n.s.,1.0,n.s.,1.0,n.s.,Mean angle acceleration at peak - rhindlimb - hip std,-51.215728564105405,-0.22573082088387547,away_from_healthy
