Feature,Mean Healthy Left B,SD Healthy Left B,Mean Sick Left C,SD Sick Left C,Number of samples in Healthy Left B,Number of samples in Sick Left C,p-value Healthy Left B vs Sick Left C,Significance,Statistical Test,feature,change value,change_effect_size,direction
Mean angle acceleration - tail - tail 4 std,28.76391212342462,17.798943699815094,18.182078507933674,11.021524315392497,10,10,0.1724537979284085,n.s.,Levene,Mean angle acceleration - tail - tail 4 std,-2.598469926876593,-0.17553295029327096,away_from_healthy
Mean angle acceleration at peak - rforelimb - elbow (rad/s^2),23.63224153958518,94.66281938248989,46.648667905732154,166.47127007759602,10,10,0.3174753175728366,n.s.,Circular,Mean angle acceleration at peak - rforelimb - elbow (rad/s^2),-3.600703619531693,-0.026590396474340666,away_from_healthy
Mean angle acceleration at peak - rforelimb - elbow std,244.5658852382992,99.07955272856152,130.8547896657281,81.11200190517337,10,10,0.5702922551076433,n.s.,Levene,Mean angle acceleration at peak - rforelimb - elbow std,88.88524992203054,0.981695661385464,towards_healthy
Mean angle acceleration at peak - rforelimb - lForepaw (rad/s^2),-321.6180866015658,293.6009198089804,-518.0154470959453,369.93084806559256,10,10,0.14442197244931862,n.s.,Circular,Mean angle acceleration at peak - rforelimb - lForepaw (rad/s^2),170.2743689436785,0.5098739685750611,towards_healthy
Mean angle acceleration at peak - rforelimb - lForepaw std,407.4444804044226,299.8536217195506,330.9502532931481,245.7536719652339,10,10,0.5382396136860275,n.s.,Levene,Mean angle acceleration at peak - rforelimb - lForepaw std,-31.584800564969953,-0.11521351970010456,away_from_healthy
Mean angle acceleration at peak - rforelimb - shoulder (rad/s^2),64.36507151686102,138.5520193783839,116.12435147464089,90.94143799815086,10,10,0.07760411570093799,n.s.,Circular,Mean angle acceleration at peak - rforelimb - shoulder (rad/s^2),13.58688365441408,0.11593890212261865,towards_healthy
Mean angle acceleration at peak - rforelimb - shoulder std,200.24147906538738,107.24179240369808,97.23771875180688,57.21209016518887,10,10,0.11972251241461974,n.s.,Levene,Mean angle acceleration at peak - rforelimb - shoulder std,47.724170456975685,0.5552696889446829,towards_healthy
Mean angle acceleration at peak - rforelimb - wrist (rad/s^2),229.41456977523916,345.44452497918616,546.1519388106885,426.5150630952143,10,10,0.07251368334129084,n.s.,Circular,Mean angle acceleration at peak - rforelimb - wrist (rad/s^2),171.50503670142854,0.44190660992819264,towards_healthy
Mean angle acceleration at peak - rforelimb - wrist std,444.35892040575266,197.74188229291508,376.8774956955282,266.27793436118185,10,10,0.9571558152721436,n.s.,Levene,Mean angle acceleration at peak - rforelimb - wrist std,-52.766027089199326,-0.22498917391695408,away_from_healthy
Mean angle acceleration at peak - rhindlimb - ankle (rad/s^2),166.81255454975084,647.2676870743554,933.972811011412,264.1317147662401,10,10,0.3536250052266493,n.s.,Circular,Mean angle acceleration at peak - rhindlimb - ankle (rad/s^2),228.71745249437777,0.46268326652148073,towards_healthy
